,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
3014,220,7.7,39,1014,12.35,10.42,9.64,-1.8,11.42,1
3015,190,3.6,89,1008,13.3,10.6,11.8,10.44,12.2,1
3016,330,6.2,34,1014,5.13,4.4,0.48,-8.71,4.74,1
3017,230,6.2,62,1021,4.4,3.52,-0.61,-2.41,3.88,1
3018,110,5.1,85,1024,6.63,3.9,1.58,2.92,5.23,1
3019,80,2.1,89,1028,4.26,3.3,1.88,2.17,3.81,2
3020,70,7.7,92,1029,2.25,1.77,-3.5,0.93,2.09,2
3021,70,7.7,100,1028,2.91,2.0,-2.71,2.7,2.7,2
3022,220,7.2,92,1005,12.2,10.58,10.76,9.93,11.18,1
3023,270,5.7,40,1017,9.4,8.84,6.2,-3.34,9.1,1
3024,170,7.2,43,1024,15.28,13.25,12.7,1.73,14.11,1
3025,200,7.2,35,1022,15.79,12.95,12.6,-0.9,14.21,1
3026,220,2.6,31,1018,16.1,13.73,13.31,-1.79,14.95,1
3027,330,7.2,19,1024,15.6,13.31,12.31,-7.98,14.33,1
3028,190,7.7,32,1026,13.12,10.59,9.68,-3.98,11.63,1
3029,280,5.1,62,1012,16.74,14.84,15.23,8.69,15.96,1
3030,70,2.1,76,1015,13.38,8.3,9.74,6.59,10.64,1
3031,120,4.1,65,1024,9.33,7.71,5.98,2.2,8.39,1
3032,80,6.7,96,1011,10.46,8.3,6.57,9.03,9.64,2
3033,300,3.6,43,1005,15.0,12.64,12.5,1.57,13.93,1
3034,190,7.7,54,1002,13.42,12.72,11.82,3.97,13.05,2
3035,280,7.7,44,1004,6.7,5.78,1.79,-4.58,6.17,1
3036,300,5.7,38,1008,7.2,6.45,3.18,-5.86,6.71,1
3037,70,3.6,58,1006,9.73,8.3,6.97,1.19,9.0,1
3038,0,0.0,56,1003,11.41,9.96,9.25,2.26,10.67,1
3039,320,6.2,63,1002,11.2,10.24,9.56,4.03,10.78,2
3040,340,7.7,37,1004,14.4,12.99,11.94,-0.74,13.56,1
3041,120,4.1,65,1008,11.48,9.63,9.26,4.17,10.46,1
3042,90,5.1,79,1014,10.67,8.3,7.11,6.19,9.65,1
3043,120,2.1,82,1016,8.55,5.6,6.11,4.56,7.43,1
3044,90,2.6,82,1015,11.87,8.9,9.78,7.59,10.53,1
3045,200,6.2,55,1020,17.16,13.79,14.28,6.29,15.26,1
3046,210,8.2,27,1019,24.25,20.61,21.48,2.56,22.47,1
3047,100,5.7,77,1023,18.89,14.4,16.85,13.02,17.08,1
3048,190,5.7,34,1022,20.07,17.03,17.29,2.36,18.5,1
3049,200,6.2,26,1019,23.64,20.3,20.77,1.51,21.85,1
3050,30,5.7,82,1026,11.15,8.9,9.37,7.23,10.16,1
3051,190,6.2,78,1024,20.06,17.04,18.44,14.6,18.5,1
3052,210,8.8,54,1018,27.01,23.22,25.22,15.27,25.23,1
3053,90,3.6,92,1020,15.22,10.6,12.49,11.49,12.76,1
3054,270,3.6,53,1006,23.94,21.19,22.22,12.48,22.53,1
3055,330,5.7,35,1021,15.11,13.99,12.89,-0.7,14.47,1
3056,120,3.1,51,1025,16.19,14.27,14.17,5.2,15.26,1
3057,120,2.1,61,1023,18.11,15.6,16.11,9.23,16.78,1
3058,200,4.1,77,1020,17.69,15.54,16.35,12.57,16.62,1
3059,70,3.1,90,1021,18.97,14.4,16.79,15.06,16.71,1
3060,90,5.7,92,1022,13.89,10.0,11.89,10.95,12.21,1
3061,190,3.6,93,1008,18.59,16.34,17.62,16.26,17.4,1
3062,290,7.7,41,1011,13.55,12.89,11.61,0.22,13.17,1
